Point,Distance (inches),Elevation,Azimuth,Corrected Azimuth
0,185.46,-0.75,193,0
1,186.16,1.6,193,0
2,185.85,-0.75,190,-3
3,185.79,-0.9,196,3
4,187.62,2.95,197,4
5,187.66,2.85,188,-5
6,187,0.55,187,-6
7,175.7,-2.2,193,0
8,192.3,2.2,180,-13
9,196.9,0.55,175,-18
10,152.9,8.6,164,-29
11,123.7,1.15,154,-39
12,116.3,18.3,148,-45
13,83.73,7.7,114,-79
14,86.6,17.55,100,-93
15,54.32,0.3,291,98
16,52.42,-5.85,263,70
17,62.97,0.4,243,50
18,167.9,4.25,215,22
19,63.77,14.3,327,134
20,95.24,7.7,78,-115
21,89.87,10.3,51,-142
22,325.5,4.65,281,88
23,324,3.8,268,75
24,144.4,19.7,206,13
25,50.68,85.9,196,3
26,14.85,-44.8,179,-14
27,12.12,-53.3,170,-23
